"","closestSp","predVal","lcl_predInt","ucl_predInt"
"Etheostoma_obeyense","Dissostichus_eleginoides",4.26492880460992,0.286511507440039,20.5462319282078
"Etheostoma_virgatum","Dissostichus_eleginoides",4.26492880460992,0.286511507440039,20.5462319282078
"Etheostoma_striatulum","Dissostichus_eleginoides",4.26492883240637,0.286511860864138,20.5462262366434
"Etheostoma_smithi","Dissostichus_eleginoides",4.26492880460993,0.286511507440039,20.5462319282078
"Etheostoma_derivativum","Dissostichus_eleginoides",4.26492883240637,0.286511860864138,20.5462262366434
"Etheostoma_kennicotti","Dissostichus_eleginoides",4.26492883240637,0.286511860864138,20.5462262366434
"Etheostoma_squamiceps","Dissostichus_eleginoides",4.26492883240637,0.286511860864138,20.5462262366434
"Etheostoma_olivaceum","Dissostichus_eleginoides",4.26492880460992,0.286511507440039,20.5462319282078
"Etheostoma_crossopterum","Dissostichus_eleginoides",4.26492880460993,0.286511507440039,20.5462319282078
"Etheostoma_pseudovulatum","Dissostichus_eleginoides",4.26492880460993,0.286511507440039,20.5462319282078
"Etheostoma_forbesi","Dissostichus_eleginoides",4.26492880460992,0.286511507440039,20.5462319282078
"Etheostoma_neopterum","Dissostichus_eleginoides",4.26492880460992,0.286511507440039,20.5462319282078
"Etheostoma_nigripinne","Dissostichus_eleginoides",4.26492880460992,0.286511507440039,20.5462319282078
"Etheostoma_corona","Dissostichus_eleginoides",4.26492883240637,0.286511860864138,20.5462262366434
"Etheostoma_oophylax","Dissostichus_eleginoides",4.26492880460993,0.286511507440039,20.5462319282078
"Etheostoma_chienense","Dissostichus_eleginoides",4.26492883240637,0.286511860864138,20.5462262366434
"Etheostoma_fragi","Dissostichus_eleginoides",4.26492880460992,0.286511507440039,20.5462319282078
"Etheostoma_radiosum","Dissostichus_eleginoides",4.26492880460992,0.286511507440039,20.5462319282078
"Etheostoma_whipplei","Dissostichus_eleginoides",4.26492880460993,0.286511507440039,20.5462319282078
"Etheostoma_tuscumbia","Dissostichus_eleginoides",4.26492880460993,0.286511507440039,20.5462319282078
"Etheostoma_ditrema","Dissostichus_eleginoides",4.26492880460992,0.286511507440039,20.5462319282078
"Etheostoma_asprigene","Dissostichus_eleginoides",4.26492880460992,0.286511507440039,20.5462319282078
"Etheostoma_collettei","Dissostichus_eleginoides",4.26492883240637,0.286511860864138,20.5462262366434
"Etheostoma_caeruleum","Dissostichus_eleginoides",4.26492880460993,0.286511507440039,20.5462319282078
"Etheostoma_exile","Dissostichus_eleginoides",4.26493199322456,0.286506377034293,20.5463439498681
"Etheostoma_luteovinctum","Dissostichus_eleginoides",4.26492880460993,0.286511507440039,20.5462319282078
"Etheostoma_susanae","Dissostichus_eleginoides",4.26493197505748,0.286512729781795,20.5462374062044
"Etheostoma_nigrum","Dissostichus_eleginoides",4.26492880460992,0.286511507440039,20.5462319282078
"Etheostoma_podostemone","Dissostichus_eleginoides",4.26492880460993,0.286511507440039,20.5462319282078
"Etheostoma_olmstedi","Dissostichus_eleginoides",4.26492883240637,0.286511860864138,20.5462262366434
"Etheostoma_perlongum","Dissostichus_eleginoides",4.26492883240637,0.286511860864138,20.5462262366434
"Etheostoma_longimanum","Dissostichus_eleginoides",4.26492904801051,0.286513586010325,20.5461991089789
"Etheostoma_vitreum","Dissostichus_eleginoides",4.26493036863798,0.286513884479968,20.5462049193594
"Etheostoma_stigmaeum","Dissostichus_eleginoides",4.26492883240637,0.286511860864138,20.5462262366434
"Etheostoma_chlorosoma","Dissostichus_eleginoides",4.26492880460993,0.286511507440039,20.5462319282078
"Etheostoma_fusiforme","Dissostichus_eleginoides",4.26492883240637,0.286511860864138,20.5462262366434
"Etheostoma_mariae","Dissostichus_eleginoides",4.26492883240637,0.286511860864138,20.5462262366434
"Etheostoma_parvipinne","Dissostichus_eleginoides",4.26492883240637,0.286511860864138,20.5462262366434
"Etheostoma_saludae","Dissostichus_eleginoides",4.26493026203611,0.286510473178546,20.5462611785957
"Etheostoma_collis","Dissostichus_eleginoides",4.26492883240637,0.286511860864138,20.5462262366434
"Etheostoma_gracile","Dissostichus_eleginoides",4.26492883240637,0.286511860864138,20.5462262366434
"Etheostoma_serrifer","Dissostichus_eleginoides",4.26492880460992,0.286511507440039,20.5462319282078
"Etheostoma_edwini","Dissostichus_eleginoides",4.26492880460992,0.286511507440039,20.5462319282078
"Etheostoma_punctulatum","Dissostichus_eleginoides",4.26493051329003,0.286514369537213,20.5461979796959
"Etheostoma_bison","Dissostichus_eleginoides",4.26492880460993,0.286511507440039,20.5462319282078
"Etheostoma_tecumsehi","Dissostichus_eleginoides",4.26492883240637,0.286511860864138,20.5462262366434
"Etheostoma_spectabile","Dissostichus_eleginoides",4.26492880460992,0.286511507440039,20.5462319282078
"Etheostoma_kantuckeense","Dissostichus_eleginoides",4.26492880460992,0.286511507440039,20.5462319282078
"Etheostoma_lawrencei","Dissostichus_eleginoides",4.26492880460992,0.286511507440039,20.5462319282078
